fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2016-07-01,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,28.2,0.0,21.2,05:30,35.2,15:20,16,3.6,15.0,15:10,13.0,1008.9,23,1006.5,17,41,75,23:59,24,Varias
2016-07-02,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,28.4,0.0,20.0,05:30,36.8,12:40,13,3.6,9.2,14:00,12.3,1009.8,23,1007.5,17,35,75,00:00,23,13:30
2016-07-03,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,26.2,0.0,20.5,05:15,32.0,13:15,09,4.2,11.4,13:50,12.9,1011.8,07,1007.2,17,49,78,03:10,38,12:40
2016-07-04,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,25.4,0.0,20.8,05:40,30.0,14:30,08,3.9,10.8,13:05,13.0,1009.7,00,1006.6,18,46,72,02:00,39,19:00
2016-07-05,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,27.9,0.0,19.6,05:50,36.2,13:20,14,3.1,10.3,16:15,12.4,1010.0,24,1006.8,15,35,59,Varias,28,Varias
2016-07-06,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,27.2,0.0,20.8,05:30,33.6,11:40,06,4.7,10.8,13:50,13.5,1010.3,07,1008.4,17,41,70,23:59,25,12:30
2016-07-07,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,26.0,0.0,21.1,02:50,31.0,10:30,08,3.9,13.3,16:10,2.2,1011.3,12,1007.5,16,51,72,01:00,39,Varias
2016-07-08,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,28.9,0.0,21.4,05:15,36.4,13:00,12,2.8,8.9,13:25,11.7,1011.1,08,1008.2,18,36,78,05:30,21,15:00
2016-07-09,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,28.2,0.0,21.8,05:40,34.5,14:45,08,3.9,9.7,11:30,12.8,1010.3,00,1007.4,17,41,57,Varias,27,15:50
2016-07-10,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,29.0,0.0,20.9,04:30,37.0,12:40,13,2.5,8.3,14:25,13.5,1008.7,00,1005.2,18,45,69,06:00,35,13:00
2016-07-11,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,29.4,0.0,20.8,04:45,38.0,13:30,15,3.9,10.3,15:05,12.7,1006.8,00,1002.8,18,35,68,05:00,18,14:45
2016-07-12,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,29.8,0.0,22.0,05:50,37.6,Varias,13,3.3,9.7,14:20,13.0,1005.5,24,1001.6,17,49,83,23:59,25,15:10
2016-07-13,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,27.8,0.0,24.0,02:30,31.5,13:15,07,3.6,11.4,15:50,11.3,1011.9,24,1005.5,00,65,87,Varias,50,Varias
2016-07-14,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,26.5,0.0,22.8,23:59,30.2,Varias,13,3.6,8.9,17:05,7.2,1012.8,08,1008.8,16,55,76,00:00,44,16:30
2016-07-15,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,25.6,0.0,21.3,23:59,30.0,14:45,11,4.2,9.2,15:00,8.4,1013.3,Varias,1011.4,18,55,78,02:20,44,10:00
2016-07-16,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,24.5,0.0,19.0,05:30,30.0,15:40,08,3.1,8.9,13:10,13.2,1013.2,00,1010.2,18,47,85,06:00,26,18:20
2016-07-17,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,24.4,0.0,16.9,Varias,31.8,14:15,07,2.5,8.9,13:15,12.8,1019.0,24,1009.2,18,43,79,Varias,28,15:55
2016-07-18,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,25.0,0.0,18.5,05:45,31.6,14:45,07,3.9,8.9,16:05,12.5,1012.3,09,1009.4,17,53,77,23:00,36,Varias
2016-07-19,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,26.4,0.0,19.2,04:30,33.5,14:40,09,2.8,8.3,20:10,10.3,1011.7,00,1007.9,20,52,86,05:30,36,18:10
2016-07-20,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,28.8,0.3,21.4,04:50,36.2,15:00,10,2.5,8.3,16:10,3.0,1010.3,12,1006.3,17,46,81,03:00,21,15:45
2016-07-21,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,29.5,0.0,21.4,Varias,37.6,13:45,13,2.5,9.2,14:40,8.9,1008.6,00,1002.3,18,39,75,23:59,26,18:30
2016-07-22,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,27.8,0.0,21.2,05:50,34.4,12:50,13,4.2,10.8,15:25,12.6,1007.6,24,1002.4,00,58,91,05:30,35,11:30
2016-07-23,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,26.7,0.0,21.8,05:50,31.6,12:20,14,4.2,9.7,12:40,12.5,1010.4,24,1007.6,00,49,87,04:30,29,10:50
2016-07-24,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,26.2,0.0,20.0,05:20,32.5,15:50,12,3.3,8.9,14:04,13.1,1010.8,08,1008.7,17,47,79,05:20,29,13:50
2016-07-25,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,27.0,0.0,19.4,05:10,34.7,13:20,13,3.9,11.4,14:30,13.5,1011.1,07,1004.0,Varias,44,74,05:50,27,14:30
2016-07-26,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,28.0,0.0,20.0,05:00,36.0,14:00,15,3.9,9.2,14:20,12.3,1011.4,Varias,1007.4,,44,78,Varias,26,12:30
2016-07-27,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,28.0,0.0,20.4,05:10,35.5,12:30,06,4.4,10.3,14:50,12.3,1009.5,00,1006.5,17,49,79,Varias,31,12:40
2016-07-28,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,27.8,0.0,20.8,05:40,34.8,13:50,,3.9,,,13.2,1010.0,Varias,1007.1,18,45,83,23:59,30,12:40
2016-07-29,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,28.0,0.0,20.8,06:00,35.2,14:40,10,3.6,9.2,15:30,12.0,1008.9,00,1005.5,16,42,87,05:20,23,17:30
2016-07-30,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,30.9,0.0,21.2,05:50,40.6,14:50,25,0.8,8.3,15:40,11.7,1008.3,00,1003.5,17,44,86,23:59,27,Varias
2016-07-31,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,32.4,0.0,24.4,01:40,40.5,14:20,17,2.2,7.2,13:30,4.3,1006.7,08,1003.0,18,31,89,04:00,17,12:00
2016-08-01,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,27.7,0.0,23.6,06:00,31.8,Varias,06,4.4,9.7,14:30,11.9,1011.5,24,1006.3,Varias,58,84,06:20,48,12:40
2016-08-02,7228,"ALCANTARILLA, BASE AEREA",MURCIA,75,27.8,0.0,21.3,05:20,34.4,13:40,06,3.6,9.2,13:10,12.0,1011.8,08,1008.7,17,50,89,05:40,27,14:40
